"Feature" "Gain" "Cover" "Frequency"
"1" "`KE=F_XHB_price_ratio`" 0.005 0.002 0
"2" "BVSP_smacross" 0.004 0 0
"3" "`ZL=F_HE=F_rsi14_ratio`" 0.003 0 0
"4" "NYA_MERV_rsi14_ratio" 0.003 0 0
"5" "`VIX_OJ=F_rsi14_ratio`" 0.003 0.001 0.001
"6" "HSI_000001.SS_price_ratio" 0.003 0.001 0
"7" "IXIC_JKSE_rsi14_ratio" 0.003 0.003 0
"8" "`XLB_HG=F_rsi14_ratio`" 0.003 0.001 0.001
"9" "FTSE_smacross" 0.003 0.001 0
"10" "`XLU_ZM=F_rsi14_ratio`" 0.003 0.001 0.001
"11" "`CT=F_ZC=F_rsi14_ratio`" 0.002 0.001 0
"12" "`ZL=F_ZM=F_price_ratio`" 0.002 0.001 0
"13" "XAX_XLY_rsi14_ratio" 0.002 0.001 0.001
"14" "`ZC=F_RB=F_price_ratio`" 0.002 0.002 0
"15" "NYA_TWII_price_ratio" 0.002 0 0
"16" "XLB_NYA_rsi14_ratio" 0.002 0.005 0.002
"17" "`ZR=F_KE=F_rsi14_ratio`" 0.002 0.001 0
"18" "`HE=F_LE=F_price_ratio`" 0.002 0.002 0
"19" "XLK_XLY_price_ratio" 0.002 0.002 0
"20" "`KLSE_SI=F_price_ratio`" 0.002 0.001 0
"21" "`BVSP_ZS=F_rsi14_ratio`" 0.002 0 0
"22" "XLB_STI_price_ratio" 0.002 0.001 0
"23" "NG.F_smacross" 0.002 0.004 0
"24" "`BFX_HG=F_price_ratio`" 0.002 0.002 0
"25" "`STI_HG=F_price_ratio`" 0.002 0.001 0
"26" "XLE_smacross" 0.002 0.001 0
"27" "XAX_XLV_rsi14_ratio" 0.002 0.004 0.001
"28" "GDAXI_GSPTSE_price_ratio" 0.002 0.001 0
"29" "`BVSP_CT=F_rsi14_ratio`" 0.002 0.001 0
"30" "`RB=F_HE=F_price_ratio`" 0.002 0.003 0
"31" "DJI_smacross" 0.002 0.002 0
"32" "XLV_BFX_rsi14_ratio" 0.002 0.001 0.001
"33" "FCHI_BSESN_price_ratio" 0.002 0.001 0
"34" "TLT_smacross" 0.002 0.002 0
"35" "`XLU_CT=F_price_ratio`" 0.002 0 0
"36" "`HO=F_XHB_price_ratio`" 0.002 0.001 0
"37" "N100_FCHI_rsi14_ratio" 0.002 0.001 0.002
"38" "`MERV_HG=F_price_ratio`" 0.002 0.001 0
"39" "MXX_smacross" 0.002 0.001 0
"40" "`KC=F_ZM=F_rsi14_ratio`" 0.002 0.002 0
"41" "`XLP_GF=F_price_ratio`" 0.002 0.002 0
"42" "GSPC_XHB_rsi14_ratio" 0.002 0.001 0.001
"43" "N100_GDAXI_rsi14_ratio" 0.002 0.001 0.002
"44" "`KLSE_CL=F_price_ratio`" 0.002 0.001 0
"45" "`FTSE_ZL=F_price_ratio`" 0.002 0 0
"46" "STI_N225_price_ratio" 0.002 0 0
"47" "`TWII_NG=F_rsi14_ratio`" 0.002 0 0.001
"48" "`RUT_HE=F_rsi14_ratio`" 0.002 0 0
"49" "`ZL=F_SI=F_rsi14_ratio`" 0.002 0 0
"50" "XLI_XLP_price_ratio" 0.002 0.001 0
"51" "`ZO=F_KS11_price_ratio`" 0.002 0.002 0
"52" "`GDAXI_HG=F_price_ratio`" 0.002 0.001 0
"53" "FCHI_smacross" 0.002 0.001 0
"54" "XLB_GSPC_price_ratio" 0.002 0.001 0
"55" "VIX.Close" 0.002 0.001 0
"56" "`XLE_HE=F_price_ratio`" 0.002 0 0
"57" "`TNX_RB=F_rsi14_ratio`" 0.002 0 0
"58" "mortgage_change" 0.002 0.002 0.001
"59" "KLSE_MERV_rsi14_ratio" 0.002 0 0
"60" "XLE_NYA_price_ratio" 0.002 0.003 0
"61" "`XLF_OJ=F_rsi14_ratio`" 0.002 0 0
"62" "XLP_BSESN_price_ratio" 0.002 0.003 0
"63" "XLF_DJI_price_ratio" 0.002 0.001 0.001
"64" "`ZC=F_TLT_price_ratio`" 0.002 0.001 0
"65" "BFX_GDAXI_rsi14_ratio" 0.002 0.001 0
"66" "`JKSE_GF=F_rsi14_ratio`" 0.002 0.001 0.001
"67" "XLV_GSPC_price_ratio" 0.002 0.001 0
"68" "`KC=F_KS11_rsi14_ratio`" 0.002 0 0
"69" "XLI_DJI_price_ratio" 0.002 0.002 0
"70" "`CL=F_KE=F_price_ratio`" 0.002 0.002 0.001
"71" "NZ50_smacross" 0.002 0 0
"72" "`NG=F_RB=F_rsi14_ratio`" 0.001 0.001 0
"73" "`AORD_KE=F_rsi14_ratio`" 0.001 0.001 0.001
"74" "`FCHI_SB=F_price_ratio`" 0.001 0.001 0
"75" "`ZO=F_TLT_rsi14_ratio`" 0.001 0 0
"76" "`NYA_HG=F_price_ratio`" 0.001 0.001 0
"77" "`KLSE_ZO=F_rsi14_ratio`" 0.001 0 0
"78" "XLP_BFX_rsi14_ratio" 0.001 0.001 0.001
"79" "`KE=F_HE=F_price_ratio`" 0.001 0.003 0
"80" "`XAX_ZS=F_price_ratio`" 0.001 0.001 0
"81" "`ZC=F_HO=F_rsi14_ratio`" 0.001 0.002 0
"82" "`ZC=F_ZS=F_price_ratio`" 0.001 0 0
"83" "unrate_change" 0.001 0.002 0
"84" "XLB_XLV_price_ratio" 0.001 0.002 0
"85" "`TNX_OJ=F_rsi14_ratio`" 0.001 0 0
"86" "`FVX_RB=F_rsi14_ratio`" 0.001 0 0
"87" "`HG=F_RB=F_rsi14_ratio`" 0.001 0 0
"88" "`HE=F_LE=F_rsi14_ratio`" 0.001 0 0
"89" "XLK_XLP_rsi14_ratio" 0.001 0.001 0
"90" "XLU_XLY_price_ratio" 0.001 0 0
"91" "`ZL=F_HE=F_price_ratio`" 0.001 0.002 0
"92" "DJI_N225_price_ratio" 0.001 0 0
"93" "NYA_XLY_price_ratio" 0.001 0.001 0
"94" "XLP_XLV_rsi14_ratio" 0.001 0.002 0.001
"95" "XLB_FCHI_rsi14_ratio" 0.001 0.001 0
"96" "`XLV_HE=F_price_ratio`" 0.001 0 0
"97" "`MXX_HG=F_price_ratio`" 0.001 0 0
"98" "`STI_LE=F_rsi14_ratio`" 0.001 0.001 0.001
"99" "`ZO=F_NG=F_rsi14_ratio`" 0.001 0.001 0
"100" "`XLI_LE=F_rsi14_ratio`" 0.001 0.002 0.001
"101" "XLF_N100_price_ratio" 0.001 0.002 0
"102" "KS11_smacross" 0.001 0.001 0
"103" "XLK_DJI_rsi14_ratio" 0.001 0 0.001
"104" "`IRX_RB=F_rsi14_ratio`" 0.001 0.001 0.001
"105" "`MERV_HG=F_rsi14_ratio`" 0.001 0.001 0
"106" "XLY_GDAXI_price_ratio" 0.001 0.001 0
"107" "XLV_IXIC_rsi14_ratio" 0.001 0 0
"108" "`XAX_HE=F_rsi14_ratio`" 0.001 0.001 0.001
"109" "IXIC_smacross" 0.001 0.001 0
"110" "`AORD_RB=F_rsi14_ratio`" 0.001 0.001 0
"111" "MXX_KS11_price_ratio" 0.001 0.001 0
"112" "`JKSE_RB=F_price_ratio`" 0.001 0.001 0
"113" "`ZL=F_CL=F_price_ratio`" 0.001 0.002 0
"114" "`AXJO_SB=F_rsi14_ratio`" 0.001 0 0
"115" "XLB_XLF_rsi14_ratio" 0.001 0.003 0.001
"116" "RUT_GSPTSE_rsi14_ratio" 0.001 0.002 0.001
"117" "`NG=F_RB=F_price_ratio`" 0.001 0 0
"118" "`VIX_ZC=F_price_ratio`" 0.001 0 0
"119" "`BVSP_SB=F_rsi14_ratio`" 0.001 0.001 0.001
"120" "`MERV_NG=F_rsi14_ratio`" 0.001 0.002 0
"121" "XLF_XLV_rsi14_ratio" 0.001 0.001 0.001
"122" "XLK_N225_rsi14_ratio" 0.001 0 0
"123" "XLB_FTSE_rsi14_ratio" 0.001 0.003 0.001
"124" "OJ.F_smacross" 0.001 0.001 0
"125" "XLK_STI_rsi14_ratio" 0.001 0.002 0.001
"126" "XLK_IXIC_rsi14_ratio" 0.001 0.002 0.001
"127" "AXJO_FTSE_price_ratio" 0.001 0.001 0
"128" "XLF_XLI_rsi14_ratio" 0.001 0.001 0.001
"129" "XLB_XLV_rsi14_ratio" 0.001 0 0
"130" "ZL.F_smacross" 0.001 0 0
"131" "`KE=F_LE=F_price_ratio`" 0.001 0 0
"132" "`NG=F_HE=F_price_ratio`" 0.001 0 0.001
"133" "`HO=F_RB=F_rsi14_ratio`" 0.001 0.002 0.001
"134" "`NG=F_ZS=F_price_ratio`" 0.001 0 0
"135" "`XLU_HG=F_rsi14_ratio`" 0.001 0.002 0.001
"136" "`ZR=F_ZL=F_rsi14_ratio`" 0.001 0.002 0.001
"137" "`SI=F_NZ50_price_ratio`" 0.001 0 0
"138" "`AORD_CT=F_price_ratio`" 0.001 0 0
"139" "XAX_GDAXI_rsi14_ratio" 0.001 0.001 0.001
"140" "MERV_000001.SS_rsi14_ratio" 0.001 0.001 0
"141" "`SI=F_KE=F_rsi14_ratio`" 0.001 0 0
"142" "AXJO_N225_rsi14_ratio" 0.001 0.001 0
"143" "XLF_XHB_rsi14_ratio" 0.001 0.001 0.001
"144" "XLP_XLU_price_ratio" 0.001 0.001 0
"145" "MXX_MERV_rsi14_ratio" 0.001 0 0
"146" "`HG=F_HE=F_rsi14_ratio`" 0.001 0.001 0
"147" "FCHI_FTSE_rsi14_ratio" 0.001 0.001 0
"148" "`BFX_ZO=F_rsi14_ratio`" 0.001 0 0
"149" "`ZR=F_NG=F_rsi14_ratio`" 0.001 0.002 0.001
